cod_insersao;descricao;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;usuario
83101072503;DOM BOSCO BALSA ALUNO EF1 2O ANO DOM BOSCO BALSA 3O BI;83101072503;PG26LA223DL00;26  LV ALUNO EF1 2O ANO 3O BI DOM BOSCO BALSA;FUND AI;2O ANO;Volume 03;Aluno
83101072503;DOM BOSCO BALSA ALUNO EF1 2O ANO DOM BOSCO BALSA 3O BI;83101072503;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101072503;DOM BOSCO BALSA ALUNO EF1 2O ANO DOM BOSCO BALSA 3O BI;83101072503;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101072503;DOM BOSCO BALSA ALUNO EF1 2O ANO DOM BOSCO BALSA 3O BI;83101072503;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101070703;GABARITO MG ALUNO EF1 2O ANO GABARITO MG 3O BI;83101070703;-;-;-;-;-;-
83101070703;GABARITO MG ALUNO EF1 2O ANO GABARITO MG 3O BI;83101070703;PG26LA223GA00;26 LV ALUNO EF1 2O ANO 3O BI GABARITO MG                                        ;FUND AI;2O ANO;Volume 03;Aluno
83101070703;GABARITO MG ALUNO EF1 2O ANO GABARITO MG 3O BI;83101070703;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101070703;GABARITO MG ALUNO EF1 2O ANO GABARITO MG 3O BI;83101070703;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101070703;GABARITO MG ALUNO EF1 2O ANO GABARITO MG 3O BI;83101070703;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101072303;ELO ALUNO EF1 2O ANO ELO 3O BI;83101072303;-;-;-;-;-;-
83101072303;ELO ALUNO EF1 2O ANO ELO 3O BI;83101072303;PG26LA223EE00;26 LV ALUNO EF1 2O ANO 3O BI ELO                                                ;FUND AI;2O ANO;Volume 03;Aluno
83101072303;ELO ALUNO EF1 2O ANO ELO 3O BI;83101072303;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101072303;ELO ALUNO EF1 2O ANO ELO 3O BI;83101072303;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101072303;ELO ALUNO EF1 2O ANO ELO 3O BI;83101072303;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101070603;FILOMENA ALUNO EF1 2O ANO FILOMENA 3O BI;83101070603;-;-;-;-;-;-
83101070603;FILOMENA ALUNO EF1 2O ANO FILOMENA 3O BI;83101070603;PG26LA223FL00;26 LV ALUNO EF1 2O ANO 3O BI FILOMENA                                           ;FUND AI;2O ANO;Volume 03;Aluno
83101070603;FILOMENA ALUNO EF1 2O ANO FILOMENA 3O BI;83101070603;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101070603;FILOMENA ALUNO EF1 2O ANO FILOMENA 3O BI;83101070603;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101070603;FILOMENA ALUNO EF1 2O ANO FILOMENA 3O BI;83101070603;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101070503;FATO ALUNO EF1 2O ANO FATO 3O BI;83101070503;-;-;-;-;-;-
83101070503;FATO ALUNO EF1 2O ANO FATO 3O BI;83101070503;PG26LA223ZS00;26 LV ALUNO EF1 2O ANO 3O BI FATO                                               ;FUND AI;2O ANO;Volume 03;Aluno
83101070503;FATO ALUNO EF1 2O ANO FATO 3O BI;83101070503;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101070503;FATO ALUNO EF1 2O ANO FATO 3O BI;83101070503;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101070503;FATO ALUNO EF1 2O ANO FATO 3O BI;83101070503;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101072003;TAMANDARE ALUNO EF1 2O ANO TAMANDARE 3O BI;83101072003;-;-;-;-;-;-
83101072003;TAMANDARE ALUNO EF1 2O ANO TAMANDARE 3O BI;83101072003;PG26LA223TA00;26 LV ALUNO EF1 2O ANO 3O BI TAMANDARE                                          ;FUND AI;2O ANO;Volume 03;Aluno
